headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
"3 Vans, 6 Coolers, a Plane, a Storm and 2 Labs: A Nasal Swab’s Journey",2020-04-13,article,News,Investigative,New York,"['Tests (Medical)', 'Laboratories and Scientific Equipment', 'Coronavirus (2019-nCoV)', 'Nursing and Nurses', 'Quarantines']",https://www.nytimes.com/2020/04/13/nyregion/coronavirus-testing.html,nyt://article/8263ec02-b092-56fd-b756-39e6456f65fe,By Rukmini Callimachi
"For Abused Women, a Pandemic Lockdown Holds Dangers of Its Own",2020-03-24,article,News,Gender,U.S.,"['Coronavirus (2019-nCoV)', 'Domestic Violence', 'Child Abuse and Neglect', 'Women and Girls']",https://www.nytimes.com/2020/03/24/us/coronavirus-lockdown-domestic-violence.html,nyt://article/6cb61593-2741-5c3e-a44b-74ae297d798d,By Alisha Haridasani Gupta and Aviva Stahl
School for the Deaf Reports Dozens of Decades-Old Sexual Abuse Cases,2020-02-25,article,News,Express,U.S.,"['Child Abuse and Neglect', 'Special Education', 'Education (K-12)', 'Abuse of the Disabled', 'Corporal Punishment', 'Deafness', 'Sex Crimes']",https://www.nytimes.com/2020/02/24/us/American-School-for-the-Deaf-sexual-abuse-cases.html,nyt://article/1e0d662a-9dcd-5641-b9cf-8a734f576b5c,By Neil Vigdor
Can Hearing Aids Help Prevent Dementia?,2020-02-20,article,News,Magazine,Magazine,"['Ears and Hearing', ""ALZHEIMER'S DISEASE"", 'Dementia', 'Hearing Aids', 'Brain']",https://www.nytimes.com/2020/02/20/magazine/hearing-loss-dementia-alzheimers.html,nyt://article/d7d6e11a-b86d-5320-bc33-384d71a7a46e,By Kim Tingley
How ‘Honeyland’ Became an Oscar Game Changer,2020-01-24,article,News,Arts&Leisure,Movies,"['Movies', 'Academy Awards (Oscars)']",https://www.nytimes.com/2020/01/24/movies/honeyland-oscars.html,nyt://article/8b0ef985-e600-5f2a-8dee-f6b62b011e6f,By Sara Aridi
How a Band of Seasoned Cinephiles Plans to Save the Movie House,2019-12-13,article,News,Metropolitan,New York,"['Movies', 'Theaters (Buildings)', 'Landlords']",https://www.nytimes.com/2019/12/13/nyregion/new-plaza-cinema-uws.html,nyt://article/61f61370-7867-5224-b498-fce40fecf8c2,By Alex Vadukul
"Giannis Antetokounmpo Is Called Amazing. Now in Sign Language, Too.",2019-11-29,article,News,Sports,Sports,"['Basketball', 'Sign Language', 'Deafness', 'Translation and Interpreters']",https://www.nytimes.com/2019/11/29/sports/milwaukee-bucks-sign-language.html,nyt://article/a0ecdf93-63e3-5431-9824-5c4a126558fe,By Scott Cacciola
How weather.com Withstands Digital Storms,2019-11-27,paidpost,,,T Brand,[],https://www.nytimes.com/paidpost/ibm-public-cloud/how-the-weather-company-withstands-digital-storms.html,nyt://paidpost/d6702ac5-2439-53a2-a982-8d2ca01932d6,
Is There a Right Way to Be Deaf?,2019-11-07,article,Op-Ed,OpEd,Opinion,"['Deafness', 'Disabilities', 'Children and Childhood', 'Language and Languages']",https://www.nytimes.com/2019/11/07/opinion/health/is-there-a-right-way-to-be-deaf.html,nyt://article/fb6a2852-00f9-5f93-b7b9-535e2379f989,By Sarah Katz
"When the Choreographer Won’t Fly, the Dancers Rehearse by Skype",2019-09-23,article,News,Culture,Arts,"['Dancing', 'Greenhouse Gas Emissions', 'Sustainable Living']",https://www.nytimes.com/2019/09/23/arts/dance/jerome-bel-isadora-no-flying.html,nyt://article/67fdce29-27cf-5fec-aedf-748dc20a480b,By Roslyn Sulcas
An Open Letter (and a Rant) on Age Discrimination at Work,2019-09-12,article,News,SundayBusiness,Business Day,"['Work-Life Balance', 'Careers and Professions', 'Workplace Environment', 'Age, Chronological', 'Discrimination', 'your-feed-selfcare']",https://www.nytimes.com/2019/09/12/business/millennials-age-discrimination.html,nyt://article/777154a7-d8d2-5901-8cd5-14dcca4e0319,By Megan Greenwell
"Asked to Put On a Show, Mueller Wishes You’d Read the Book",2019-07-24,article,News,Culture,Arts,"['United States Politics and Government', 'Television', 'Special Prosecutors (Independent Counsel)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",https://www.nytimes.com/2019/07/24/arts/television/mueller-testimony-trump.html,nyt://article/2b00a2d1-d680-5b82-8866-5209a1550121,By James Poniewozik
Subject of This Puzzle,2019-07-10,article,News,Games,Crosswords & Games,['Crossword Puzzles'],https://www.nytimes.com/2019/07/09/crosswords/daily-puzzle-2019-07-10.html,nyt://article/1028e80c-2cb3-5802-a322-ca6e492b253b,By Deb Amlen
"Vivian Perlis, Oral Historian of American Music, Dies at 91",2019-07-09,article,Obituary (Obit),Obits,Arts,"['Music', 'Archives and Records', 'Deaths (Obituaries)']",https://www.nytimes.com/2019/07/09/arts/music/vivian-perlis-dead.html,nyt://article/6d9ed80e-af6c-5e8b-96de-dd9349083312,By Anthony Tommasini
