headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Pushing Science’s Limits in Sign Language Lexicon,2012-12-03,article,News,Science,Science,"['Sign Language', 'Science and Technology', 'Colleges and Universities', 'Deafness']",https://www.nytimes.com/2012/12/04/science/sign-language-researchers-broaden-science-lexicon.html,nyt://article/932203a2-cb0e-5bc8-b7ba-b2984e971e7a,By Douglas Quenqua
"THE VIEW FROM: WOODLANDS HIGH SCHOOL;
American Sign Language Joins the Curriculum as an Elective",1990-12-30,article,News,Westchester Weekly Desk,New York,['Sign Language'],https://www.nytimes.com/1990/12/30/nyregion/the-view-from-woodlands-high-school-american-sign-language-joins.html,nyt://article/933d25b6-6985-5108-a0ca-eb70a101f1d0,By Lynne Ames
"Focusing on the Issue of Aging, and Growing Into the Job",2006-11-14,article,Interview,Science Desk,Health,"['Age, Chronological', 'AGED', 'Medicine and Health']",https://www.nytimes.com/2006/11/14/science/focusing-on-the-issue-of-aging-and-growing-into-the-job.html,nyt://article/93cecb81-6a27-5877-9f2d-aa282f1bbc3c,By Claudia Dreifus
Needless Silence for Hearing Impaired,2001-12-04,article,News,Health & Fitness,Health,['Deafness'],https://www.nytimes.com/2001/12/04/health/personal-health-needless-silence-for-hearing-impaired.html,nyt://article/9475c158-f9e3-5bc0-9ee9-3e9c1aca093d,By Jane E. Brody
Making Federal Web Sites Friendly to Disabled Users,2001-06-11,article,News,The Arts/Cultural Desk,Arts,"['United States Politics and Government', 'Computers and the Internet', 'Handicapped']",https://www.nytimes.com/2001/06/11/arts/arts-online-making-federal-web-sites-friendly-to-disabled-users.html,nyt://article/94bb538a-d14e-5046-a580-810bd86abfbf,By Matthew Mirapaul
PERSONAL HEALTH,1985-10-02,article,News,Living Desk,Home & Garden,"['Diet and Nutrition', 'Ears and Hearing']",https://www.nytimes.com/1985/10/02/garden/personal-health-046959.html,nyt://article/953e3f3d-0f47-5e06-87df-7a7ca3ad8ac8,By Jane E. Brody
Colleges Widen Their Job Choices,1989-01-29,article,News,Connecticut Weekly Desk,New York,"['LABOR', 'Colleges and Universities']",https://www.nytimes.com/1989/01/29/nyregion/colleges-widen-their-job-choices.html,nyt://article/95df64bb-aa7b-5f13-a98b-c14012e88722,By Sharon L. Bass
Television,1977-11-17,article,Archives,None,Archives,[],https://www.nytimes.com/1977/11/17/archives/television.html,nyt://article/96360382-df58-52b6-944b-d3f40923caef,
Voter Information,1994-11-07,article,Summary,Metropolitan Desk,New York,['NO INDEX TERMS'],https://www.nytimes.com/1994/11/07/nyregion/voter-information.html,nyt://article/966a72cb-004d-53d2-9686-0884adb6d052,
HELP OF COURTS SOUGHT FOR LEARNING DISABLED,1986-11-16,article,News,Metropolitan Desk,New York,"['Learning Disabilities', 'Education and Schools', 'Vocational Training', 'Crime and Criminals']",https://www.nytimes.com/1986/11/16/nyregion/help-of-courts-sought-for-learning-disabled.html,nyt://article/9710327f-c143-5455-ad37-b937ccfd0229,By Kirk Johnson
THE DEAF ARE DIVIDED ON THE FILM ''LESSER GOD'',1986-11-16,article,News,Cultural Desk,Arts,"['MOTION PICTURES', 'Deafness']",https://www.nytimes.com/1986/11/16/arts/the-deaf-are-divided-on-the-film-lesser-god.html,nyt://article/972e3cb6-6bac-5fa6-9260-94a5d0c30784,By A. E. Hardie
CONNECTICUT GUIDE,1998-01-04,article,News,Connecticut Weekly Desk,New York,[],https://www.nytimes.com/1998/01/04/nyregion/connecticut-guide-850055.html,nyt://article/974e818c-b0e4-5119-a508-aeb0ebb759b2,By Eleanor Charles
BOXING: A Boxer's Darkness;Damaged McClellan Has Poignant Bouts With Everyday Life,1995-11-12,article,News,Sports Desk,Sports,['Boxing'],https://www.nytimes.com/1995/11/12/sports/boxing-boxer-s-darkness-damaged-mcclellan-has-poignant-bouts-with-everyday-life.html,nyt://article/97734b5f-7625-5a40-b355-fbc68b8dc168,By Ira Berkow
Television Captioning For Deaf to Increase,1984-07-07,article,News,National Desk,U.S.,['TERMS NOT AVAILABLE'],https://www.nytimes.com/1984/07/07/us/television-captioning-for-deaf-to-increase.html,nyt://article/978e9cfe-fa08-58b2-bbd8-a907759774d9,AP
HANDLING DEAFNESS IN A MODERN WAY,1983-02-20,article,News,Weschester Weekly Desk,Archives,"['Deafness', 'DATA PROCESSING']",https://www.nytimes.com/1983/02/20/archives/handling-deafness-in-a-modern-way.html,nyt://article/97a9a673-0fdc-51ed-b45c-9dcdf52a50b4,By Linda Spear
"Letters: In Paris If It's Haute, It's Not Cheap; BETTY WALLER; Singing Vienna's Praises; REV. DR. MYRON F. SLATER; FELIX G. ARNSTEIN; West Orange, N.J.; Where Credit Is Due; SOLOMON R. KUNIS; New York; Happy Sailing; MR. AND MRS. PAUL WHEATON; Hyde Park, N.Y.; The Cultural Gap; cultures.; JAMES H. KAWAKAMI; Piscataway, N. J.; Mexico Side Trip; Saratoga‐Sarasota; Fort Myers'?; R. SHAW; Movies on Buses; MARTHA B. KATZ‐HYMAN; Waltham, Mass.; Baggage Tags; L. A. RESS ; Bronx; Picnic on the Pier; MARYLIN SERMUL LA PORTE; New York",1978-01-29,article,Archives,None,Archives,[],https://www.nytimes.com/1978/01/29/archives/letters-in-paris-if-its-haute-its-not-cheap-singing-viennas-praises.html,nyt://article/980e2fe6-2f0c-5523-a6d4-c203ea5e399d,
Making Broadway Accessible for the Disabled,2010-03-02,article,News,Culture,Arts,[],https://artsbeat.blogs.nytimes.com/2010/03/02/making-broadway-accessible-for-the-disabled/,nyt://article/9810de72-0343-51e8-8fd5-414e10a9156f,By Erik Piepenburg
School for Deaf In New Jersey Gets New Chief,1990-11-06,article,News,Metropolitan Desk,New York,"['Appointments and Executive Changes', 'Deafness']",https://www.nytimes.com/1990/11/06/nyregion/school-for-deaf-in-new-jersey-gets-new-chief.html,nyt://article/9816c555-9cce-5fab-9fc7-02a8d7655e36,
"For Entrances, Just the Right Sound",1992-05-21,article,News,Home Desk,Home & Garden,[],https://www.nytimes.com/1992/05/21/garden/where-to-find-it-for-entrances-just-the-right-sound.html,nyt://article/98872675-ef7b-56e5-aff3-15ecaf0c9d89,By Terry Trucco
"ABOUT MEN;
Past Due",1991-12-22,article,News,Magazine Desk,Magazine,['DEATH'],https://www.nytimes.com/1991/12/22/magazine/about-men-past-due.html,nyt://article/988db302-1a2a-58a5-b389-7cdc552f13ca,By Eric Larson
Recasting The Mold In Theater,1989-01-29,article,News,National Desk,U.S.,"['MINORITIES (ETHNIC, RACIAL, RELIGIOUS)', 'Families and Family Life', 'Handicapped', 'Theater']",https://www.nytimes.com/1989/01/29/us/recasting-the-mold-in-theater.html,nyt://article/98b8525b-fbcd-562b-b4ab-2bc0f24f80ab,"By Anne Driscoll, Special To the New York Times"
"FOR DISABLED, COMPUTERS ARE CREATING NEW LIVES",1985-08-24,article,News,Metropolitan Desk,New York,"['Handicapped', 'DATA PROCESSING', 'PERSONAL COMPUTERS', 'Braille']",https://www.nytimes.com/1985/08/24/nyregion/for-disabled-computers-are-creating-new-lives.html,nyt://article/98f120a7-acc0-5557-9e8f-0ac06844fec4,By Sherry Sontag
Studies for Living Designed for the Deaf,1997-04-06,article,News,Connecticut Weekly Desk,New York,"['Deafness', 'COMPANY AND ORGANIZATION PROFILES']",https://www.nytimes.com/1997/04/06/nyregion/studies-for-living-designed-for-the-deaf.html,nyt://article/9905388a-81a2-5c72-9adb-244d72387fc5,By Elizabeth Gershman
NEW JERSEY GUIDE,1993-03-14,article,News,New Jersey Weekly Desk,New York,['NO INDEX TERMS'],https://www.nytimes.com/1993/03/14/nyregion/new-jersey-guide.html,nyt://article/9922a2a0-34c2-564d-8fad-80de26ed9087,By Alvin Klein
Calendar: Walking Tours and Folk Art,1989-09-21,article,News,Home Desk,Home & Garden,"['Entertainment and Amusements', 'Culture']",https://www.nytimes.com/1989/09/21/garden/calendar-walking-tours-and-folk-art.html,nyt://article/992d5cf2-f997-55cb-b221-5fdf3a3203a3,
The ‘Daunting’ Din: Readers React to Noisy Restaurants,2015-09-09,article,News,Dining,Food,"['Restaurants', 'Noise']",https://www.nytimes.com/2015/09/10/dining/the-daunting-din-readers-react-to-noisy-restaurants.html,nyt://article/993158f0-0f39-5dae-984d-8195ca229066,By The New York Times
