headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Spanish Subjects and American Citizens.,1860-03-17,article,Archives,None,Archives,[],https://www.nytimes.com/1860/03/17/archives/spanish-subjects-and-american-citizens.html,nyt://article/0d9f5fbb-69af-5896-b5ef-56223304efd8,
NEWSPAPER INDICATIONS.; PROPOSED DECLARATION OF INDEPENDENCE OF SOUTH CAROLINA.,1860-11-14,article,Archives,None,Archives,[],https://www.nytimes.com/1860/11/14/archives/newspaper-indications-proposed-declaration-of-independence-of-south.html,nyt://article/1131ebeb-169f-5bc9-8000-14f6b441c02e,From the Washington Constitution
The Louisville Journal.,1861-09-28,article,Archives,None,Archives,[],https://www.nytimes.com/1861/09/28/archives/the-louisville-journal.html,nyt://article/12be5e3e-8235-5517-98ca-db01c69df218,
Playing Possum Making Believe Dead The Last Secesh Trick in Europe.,1864-07-08,article,Archives,None,Archives,['Editorials'],https://www.nytimes.com/1864/07/08/archives/playing-possum-making-believe-dead-the-last-secesh-trick-in-europe.html,nyt://article/12e913dc-7781-547c-af5b-aa9611a76b35,
Article 4 -- No Title,1863-09-04,article,Archives,None,Archives,[],https://www.nytimes.com/1863/09/04/archives/article-4-no-title.html,nyt://article/157297c3-69c5-5976-9535-d38330c7d2b5,
SECOND DISPATCH FROM COUNT RECHBERG TO THE PRINCE METTERNICH.,1860-03-24,article,Archives,None,Archives,[],https://www.nytimes.com/1860/03/24/archives/second-dispatch-from-count-rechberg-to-the-prince-metternich.html,nyt://article/159847a0-1aa9-5bf4-82d3-20c3487d8cce,
An Important Discovery.,1863-10-21,article,Archives,None,Archives,[],https://www.nytimes.com/1863/10/21/archives/an-important-discovery.html,nyt://article/15dfa45b-0802-5932-b086-0889bbd1984d,
VIEW OF THE FRENCH PRESS.; THE SURRENDER OF MASON AND SLIDELL.,1862-01-31,article,Archives,None,Archives,[],https://www.nytimes.com/1862/01/31/archives/view-of-the-french-press-the-surrender-of-mason-and-slidell.html,nyt://article/174c030d-8e8d-597b-9a28-934df9c7dfff,
SUPPRESSION OF THE BANGOR DEMOCRAT.,1861-08-16,article,Archives,None,Archives,[],https://www.nytimes.com/1861/08/16/archives/suppression-of-the-bangor-democrat.html,nyt://article/177dbee2-8413-5f83-a3c2-f039c0abf228,
University of the City of New-York.; ORATION BY REV. HUGH S. CARPENTER. Discharge from the Ear.,1862-06-19,article,Archives,None,Archives,[],https://www.nytimes.com/1862/06/19/archives/university-of-the-city-of-newyork-oration-by-rev-hugh-s-carpenter.html,nyt://article/1895553e-d0d4-5e18-9b87-c1216ab27e44,
LIGHTHILL ON DEAFNESS.,1862-08-25,article,Archives,None,Archives,[],https://www.nytimes.com/1862/08/25/archives/lighthill-on-deafness.html,nyt://article/191394e7-5cdb-50b7-acd6-6b9df59a5242,
"Catarrh ""The Lightning Calculator"" A Remarkable Case.",1863-11-17,article,Archives,None,Archives,[],https://www.nytimes.com/1863/11/17/archives/catarrh-the-lightning-calculator-a-remarkable-case.html,nyt://article/19168de0-974d-55b7-bc03-169753e15d36,
RELIGIOUS INTELLIGENCE.; Notices of Religions Movements Spirit of the Press Services To-morrow.,1860-10-27,article,Archives,None,Archives,[],https://www.nytimes.com/1860/10/27/archives/religious-intelligence-notices-of-religions-movements-spirit-of-the.html,nyt://article/1957b69b-48f1-5116-9a86-38a61344feec,
Repression of the Slave-trade.; IMPORTANT DEBATE IN THE HOUSE OF COMMONS,1861-03-15,article,Archives,None,Archives,[],https://www.nytimes.com/1861/03/15/archives/repression-of-the-slavetrade-important-debate-in-the-house-of.html,nyt://article/1b02879a-70f4-543c-bc9d-fb62759bd1c1,
FURTHER DETAILS OF THE AFFAIR.,1862-09-30,article,Archives,None,Archives,[],https://www.nytimes.com/1862/09/30/archives/further-details-of-the-affair.html,nyt://article/1c331ecb-71df-5ab4-b6f5-1d9653051560,
County Appropriation Bill for 1863.,1863-02-06,article,Archives,None,Archives,[],https://www.nytimes.com/1863/02/06/archives/county-appropriation-bill-for-1863.html,nyt://article/1e12ff4e-473f-5502-bfc3-4559ed269a60,
The Sure Ground of Our Hope.,1864-07-19,article,Archives,None,Archives,['Editorials'],https://www.nytimes.com/1864/07/19/archives/the-sure-ground-of-our-hope.html,nyt://article/1f069354-adbb-5acd-bc74-3145f168031e,
GREAT BRITAIN.; The Great Prize Fight--A Canard Heenan Already Thrashed--Morrissey Instructing Sayers--The Morale of the Ring--Literary News--Changes in London Journalism--The Galway Steamers.,1860-04-13,article,Archives,None,Archives,['Boxing'],https://www.nytimes.com/1860/04/13/archives/great-britain-the-great-prize-fighta-canard-heenan-already.html,nyt://article/204dcfea-e57f-5ef5-8cf1-610182604ef5,From Our Own Correspondent
Effect of Cannon firing on the Hearing.,1861-05-07,article,Archives,None,Archives,[],https://www.nytimes.com/1861/05/07/archives/effect-of-cannon-firing-on-the-hearing.html,nyt://article/21b116b7-ce3c-5e9f-ae0d-b8d821d6f858,
"From the ""New-York Evening Express,"" Aug. 17.; GRATITUDE OF THE DEAF AND BLIND AND SUFFERERS OF CHRONIC CATARRH.",1863-08-19,article,Archives,None,Archives,[],https://www.nytimes.com/1863/08/19/archives/from-the-newyork-evening-express-aug-17-gratitude-of-the-deaf-and.html,nyt://article/222ac759-7f49-56a3-addc-02f52bd60e63,
"BOARD OF SUPERVISORS.; COUNTY BUDGET FOR 1862 IMPORTANT COMMUNICATION FROM THE COMPTROLLER AUTHORITYASKED TO RAISE MONEY ON COUNTY BONDS COLLECTION OF GOVERNMENT TAX TO BE MADEBY THE STATE. THE BUDGET. CITY OF NEW-YORK, DEPARTMENT OF FINANCE, I. THE LEGISLATION DEPARTMENT. II. THE EXECUTIVE DEPARTMENTS. III. THE JUDICIARY. IV. MISCELLANEOUS. RECAPITULATION. WAYS AND MEANS. COUNTY REVENUE BONDS.",1862-01-07,article,Archives,None,Archives,[],https://www.nytimes.com/1862/01/07/archives/board-of-supervisors-county-budget-for-1862-important-communication.html,nyt://article/2318dd53-37b0-5fda-87ec-6031f41db688,
Important Order Regarding the Invalid Corps.,1863-07-26,article,Archives,None,Archives,['WAR'],https://www.nytimes.com/1863/07/26/archives/important-order-regarding-the-invalid-corps.html,nyt://article/247188c4-852c-5075-8e57-86affdc7a834,
Arrivals in the City.,1863-10-24,article,Archives,None,Archives,[],https://www.nytimes.com/1863/10/24/archives/arrivals-in-the-city.html,nyt://article/249d4204-04d7-579f-a9e4-b9231d4bc166,
THE HARMONIOUS DEMOCRACY.; The Douglas State Convention at Syracuse.Tamnany Hall Cheated Out of its Eye-teeth? Groans of the Wounded? Outragesand Unexampled Treachery of Dean Richmond and Peter Cagger.NO DEMOCRACTIC UNION THIS FALL. Fusion with the Bell-Everetts on an Electoral Ticket.,1860-08-17,article,Archives,None,Archives,[],https://www.nytimes.com/1860/08/17/archives/the-harmonious-democracy-the-douglas-state-convention-at.html,nyt://article/25e8ae5d-2fe0-5262-b3e9-610eee9f9b51,
Weakness of the South Slavery a Dead Investment of Capital.,1861-03-26,article,Archives,None,Archives,[],https://www.nytimes.com/1861/03/26/archives/weakness-of-the-south-slavery-a-dead-investment-of-capital.html,nyt://article/26407150-630c-5479-bfab-abba3c90b99e,
The Forts at Charleston.,1860-12-18,article,Archives,None,Archives,[],https://www.nytimes.com/1860/12/18/archives/the-forts-at-charleston.html,nyt://article/269ce0b7-4d5d-5ba0-8e05-6507f22951e4,
Staten Island.,1860-02-29,article,Archives,None,Archives,[],https://www.nytimes.com/1860/02/29/archives/staten-island.html,nyt://article/27c4ddf6-50a0-5550-b188-23fb93839fa0,
The Lower-Canada Gold Mines.,1863-11-10,article,Archives,None,Archives,[],https://www.nytimes.com/1863/11/10/archives/the-lowercanada-gold-mines.html,nyt://article/28d4ea19-0366-572c-a63b-f4677e320834,
"Surgical and Practical Observations on the Diseases of the Ear,; WITH THE NEW MODE OF TREATING DEAFNESS. J.E. VON EISENBERG, M.D., COULIST AND AURIST, No. 816 Broadway.",1863-09-08,article,Archives,None,Archives,[],https://www.nytimes.com/1863/09/08/archives/surgical-and-practical-observations-on-the-diseases-of-the-ear-with.html,nyt://article/296e9d5f-efd6-5648-80e4-dd4fafa9fb07,
"FROM MARYLAND.; SOUTH CAROLINA MARYLAND FEELING SECESSION A FOREGONE CONCLUSION SUFFERING IN BALTIMORE LEGISLATURE TO BE CONVENED, &C.",1860-12-14,article,Archives,None,Archives,[],https://www.nytimes.com/1860/12/14/archives/from-maryland-south-carolina-maryland-feeling-secession-a-foregone.html,nyt://article/2aacc6e6-8c7a-5761-8b9a-c6604581cfa3,
Buffalo and State Line.,1863-02-25,article,Archives,None,Archives,[],https://www.nytimes.com/1863/02/25/archives/buffalo-and-state-line.html,nyt://article/2b1ea996-1cff-5253-b084-7100dfd7b641,To the Editor of the New-York Times:
Crush the Mob!,1863-07-14,article,Archives,None,Archives,[],https://www.nytimes.com/1863/07/14/archives/crush-the-mob.html,nyt://article/2ba42a3f-50be-50b6-a564-232b401578a1,
"THE ORIGIN OF SPECIES.; ON THE ORIGIN OF SPECIES BY MEANS OF NATURAL SELECTION OR THE PRESERVATION OF FAVORED RACES IN THESTRUGGLE FOR LIFE. By CHARLESS DARWIN,M.A., etc. London, JOHN MURRY: Reprint, D.APPLETON & Co.; 1860.",1860-03-28,article,Archives,None,Archives,['Books and Literature'],https://www.nytimes.com/1860/03/28/archives/the-origin-of-species-on-the-origin-of-species-by-means-of-natural.html,nyt://article/2dfe70ee-5561-5e2e-b2d4-fcb94a65c6ad,
