headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
A Salsa Opera Returns Outdoors,2014-07-18,article,News,Arts&Leisure,Arts,[],https://www.nytimes.com/2014/07/20/arts/music/a-salsa-opera-returns-outdoors.html,nyt://article/c55af422-9273-58bd-a37e-9314ad0d867a,By Ben Ratliff
The Brave New World of Three-Parent I.V.F.,2014-06-27,article,News,Magazine,Magazine,"['Genetics and Heredity', 'Babies and Infants', 'Genetic Engineering', 'In Vitro Fertilization', 'Infertility', 'DNA (Deoxyribonucleic Acid)', 'Biology and Biochemistry', 'Science and Technology', 'Mitochondria']",https://www.nytimes.com/2014/06/29/magazine/the-brave-new-world-of-three-parent-ivf.html,nyt://article/5a201732-1968-596a-a9d9-7282967a972f,By Kim Tingley
An Inner Life,2014-06-05,article,Review,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2014/06/08/books/review/what-is-visible-by-kimberly-elkins.html,nyt://article/9311d557-f453-5c3e-9a8f-0ec9e50aca8e,By Barbara Kingsolver
"Fingers Crossed, Marketers Count on Olympic Gold",2014-02-07,article,News,Business,Business Day,"['Olympic Games (2014)', 'ADVERTISING AND MARKETING']",https://www.nytimes.com/2014/02/07/business/media/fingers-crossed-marketers-count-on-olympic-gold.html,nyt://article/a2a07a9e-87eb-5946-ac86-f802b6b5beb3,By Stuart Elliott
New Releases From DJ Khaled and Cass McCombs,2013-10-21,article,Review,Culture,Arts,['Music'],https://www.nytimes.com/2013/10/22/arts/music/new-releases-from-dj-khaled-and-cass-mccombs.html,nyt://article/1783e672-36a9-5990-86ca-5b529e9563c6,By Nate Chinen and Ben Ratliff
Mother of 4 Is Said to Be 110th Tibetan to Self-Immolate,2013-03-25,article,News,,World,"['Buddhism', 'Immolation']",https://rendezvous.blogs.nytimes.com/2013/03/25/mother-of-4-is-said-to-be-110th-tibetan-to-self-immolate/,nyt://article/86b453a5-9ac5-542f-9ea8-49a01a9c063f,By Didi Kirsten Tatlow
"Today’s Scuttlebot: Netflix TV, and Bitcoins for Drugs",2013-03-22,article,News,,Technology,[],https://bits.blogs.nytimes.com/2013/03/22/todays-scuttlebot-netflix-tv-and-bitcoins-for-drugs/,nyt://article/eebad433-ab5e-5866-be21-abfafffdc973,By The New York Times
North Carolina Overreaches,2013-03-22,article,Editorial,Editorial,Opinion,"['Decisions and Verdicts', 'Medicaid', 'Health Insurance and Managed Care', 'Editorials']",https://www.nytimes.com/2013/03/22/opinion/north-carolina-overreaches.html,nyt://article/5e65e5e0-719c-5c1d-8ee5-96e08658ac99,By The Editorial Board
Theater Listings for Feb. 1-7,2013-01-31,article,Schedule,Weekend,Theater,['Theater'],https://www.nytimes.com/2013/02/01/theater/theater-listings-for-feb-1-7.html,nyt://article/94249e03-30d5-5c9f-96ba-a6867e9c3724,By The New York Times
Theater Listings for Jan. 25-31,2013-01-24,article,Schedule,Weekend,Theater,['Theater'],https://www.nytimes.com/2013/01/25/theater/theater-listings-for-jan-25-31.html,nyt://article/ab7a9204-478f-58fe-93d6-09d1543c855f,
Theater Talkback: Defying Expectations Off Broadway,2013-01-24,article,News,,Arts,"['Blindness', 'Coil Festival', 'Deafness', 'Disabilities', 'Theater', 'Under the Radar Festival']",https://artsbeat.blogs.nytimes.com/2013/01/24/theater-talkback-defying-expectations-off-broadway/,nyt://article/93586dab-2a1d-5624-80e9-2746a41c50be,By Ben Brantley
Nourished by Language That Is Based on Touching,2013-01-18,article,Review,Culture,Theater,"['Theater', 'Disabilities', 'Deafness', 'Blindness', 'Senses and Sensation', 'Bread']",https://www.nytimes.com/2013/01/19/theater/reviews/not-by-bread-alone-at-the-nyu-skirball-center.html,nyt://article/ff565004-53ad-59c3-8771-98433b2b33b6,By Ben Brantley
What We’re Reading,2013-01-16,article,News,,Style,[],https://dinersjournal.blogs.nytimes.com/2013/01/16/what-were-reading-608/,nyt://article/a550712a-8be9-5378-9580-77fd8ebbadf3,By The New York Times
"2 Senses Missing, 3 Others Step Up",2013-01-15,article,News,Culture,Theater,['Theater'],https://www.nytimes.com/2013/01/16/theater/nalagaat-israeli-troupe-of-deaf-blind-actors.html,nyt://article/420b6266-e4a8-5f72-ad40-d02db75f0f9e,By Isabel Kershner
Theater Listings for Jan. 11-17,2013-01-10,article,Schedule,Weekend,Theater,['Theater'],https://www.nytimes.com/2013/01/11/theater/theater-listings-for-jan-11-17.html,nyt://article/5691761b-6455-5385-8636-e7f685473be6,
Nature Provides Solace for a Writer Who Wrestles With Being Disabled,2012-07-24,article,Review,Culture,Movies,"['Movies', 'Documentary Films and Programs']",https://www.nytimes.com/2012/07/25/movies/planet-of-snail-a-south-korean-documentary.html,nyt://article/0a5fb0c2-a5ac-5474-8135-33afffa5b7c0,By Stephen Holden
Skirball Center Announces New Season,2012-07-19,article,News,,Arts,[],https://artsbeat.blogs.nytimes.com/2012/07/19/skirball-center-announces-new-season/,nyt://article/05d22f53-6488-5c1b-976c-a7ebe91faf0a,By Erik Piepenburg
Google Android Adds a Flurry of New Features,2012-06-27,article,News,,Technology,"['Android (Operating System)', 'Computers and the Internet']",https://bits.blogs.nytimes.com/2012/06/27/google-android-adds-flurry-of-new-features/,nyt://article/1838f4eb-0882-5d39-bd69-9b0bdfa4a5a0,By Nick Bilton
"Chinese Activist’s Death Called Suicide, but Supporters Are Suspicious",2012-06-08,article,News,Foreign,World,"['Political Prisoners', 'Suicides and Suicide Attempts', 'Human Rights and Human Rights Violations', 'Prisons and Prisoners']",https://www.nytimes.com/2012/06/09/world/asia/chinese-activist-li-wangyang-death-called-suicide-but-supporters-are-suspicious.html,nyt://article/51a40a8a-9f34-5782-911d-a552934cc954,By Andrew Jacobs
Four Faces From a Thousand,2012-06-01,article,News,Arts&Leisure,Movies,"['Video Recordings and Downloads', 'Movies']",https://www.nytimes.com/2012/06/03/movies/homevideo/lon-chaney-dvds-the-blackbird-tell-it-to-the-marines.html,nyt://article/f801f6b8-9dad-58c2-827e-f7f21b2edc87,By Dave Kehr
Berkeley’s Artwork Loss Is a Museum’s Gain,2012-02-20,article,News,Culture,Arts,"['Art', 'Colleges and Universities']",https://www.nytimes.com/2012/02/21/arts/design/art-by-sargent-johnson-berkeleys-loss-is-museums-gain.html,nyt://article/a8dc9e5a-9724-5872-bf80-1bdbcba18cb8,By Carol Pogash
The Risks and Rewards of Exploring the Nile,2011-12-09,article,Review,BookReview,Books,"['Books and Literature', 'Exploration and Explorers']",https://www.nytimes.com/2011/12/11/books/review/explorers-of-the-nile-the-triumph-and-tragedy-of-a-great-victorian-adventure-by-tim-jeal-book-review.html,nyt://article/6eb3bace-21f3-5f49-9a57-a133ddf76af8,By Ben Macintyre
Ask an Expert About Macular Degeneration,2011-07-12,article,News,,Health,"['Blindness', 'Disabilities', 'Eyes and Eyesight', 'Macular Degeneration']",https://consults.blogs.nytimes.com/2011/07/12/ask-an-expert-about-macular-degeneration/,nyt://article/db45f6a7-559d-5725-be76-8d4b44552af0,By The New York Times
Feeling New York City’s Restless Pulse,2011-01-19,article,,,Multimedia/Photos,"['Blindness', 'Handicapped']",https://lens.blogs.nytimes.com/2011/01/19/feeling-new-york-citys-restless-pulse/,nyt://article/94656069-ed97-5e4c-ba8c-9c470cc476ae,By Kerri MacDonald and Béatrice de Géa
Secret Cable Discusses Pfizer’s Actions in Nigeria Case,2010-12-11,article,News,Business,Business Day,"['Drugs (Pharmaceuticals)', 'Suits and Litigation']",https://www.nytimes.com/2010/12/11/business/11pfizer.html,nyt://article/cf1958ef-da16-567d-baca-2e15ea4c507e,By Duff Wilson
Seoul Ascending,2010-09-23,article,News,TStyle,T Magazine,[],https://www.nytimes.com/2010/09/26/t-magazine/26well-korea-t.html,nyt://article/af6b5cc9-67da-5c24-b480-ecf2a8bef361,By John Bowe
Spare Times: For Children,2010-08-19,article,Schedule,Weekend,Arts,"['Dogs', 'Tennis', 'Parks and Other Recreation Areas', 'Tigers', 'Poetry and Poets', 'Museums', 'Children and Youth']",https://www.nytimes.com/2010/08/20/arts/20kidslist.html,nyt://article/26cb64c3-4cc8-5250-bc50-82e5b600b829,By Laurel Graeber
For Children,2010-08-13,article,Schedule,Weekend,Arts,[],https://www.nytimes.com/2010/08/13/arts/13kids.html,nyt://article/7aef51a4-3bba-5680-82e7-f536dc491ff6,By Laurel Graeber
Spare Times: For Children,2010-07-29,article,Schedule,Weekend,Arts,"['Handicapped', 'Tennis', 'Parks and Other Recreation Areas', 'Museums', 'Tigers', 'Folk Music', 'Historic Buildings and Sites']",https://www.nytimes.com/2010/07/30/arts/30kids.html,nyt://article/84abc379-44ed-5ac7-99a3-9f853fa0d4fe,By Laurel Graeber
Lawmakers Call On Six Firms to Claw Back Bonuses,2010-07-29,article,,Business,Business Day,[],https://dealbook.nytimes.com/2010/07/29/lawmakers-call-on-6-firms-to-claw-back-bonuses/,nyt://article/cda71e3c-e55c-59ee-bf59-c8babdb04edc,By Dealbook
Spare Times: For Children,2010-07-15,article,Schedule,Weekend,Arts,"['Tennis', 'Parks and Other Recreation Areas', 'High Line (NYC)', 'Central Park Summerstage', 'Theater', 'Historic Buildings and Sites']",https://www.nytimes.com/2010/07/16/arts/16kids.html,nyt://article/7cea07b5-deec-5939-82b2-a9c711c6e92b,By Laurel Graeber
How Washington Abetted the Bank Job,2010-04-03,article,Op-Ed,OpEd,Opinion,"['Banks and Banking', 'Regulation and Deregulation of Industry', 'Subprime Mortgage Crisis']",https://www.nytimes.com/2010/04/04/opinion/04koniak.html,nyt://article/8752d9b9-c240-5f92-bfbb-0aebd828fcb2,"By Susan P. Koniak, George M. Cohen, David A. Dana and Thomas Ross"
Closing Date for ‘The Miracle Worker’,2010-03-28,article,News,Culture,Arts,[],https://artsbeat.blogs.nytimes.com/2010/03/28/closing-date-for-the-miracle-worker/,nyt://article/50b0c1cd-c23e-583d-a1de-e8a2d725bcc4,By Patrick Healy
"Arnall Patz, a Doctor Who Prevented Blindness, Is Dead at 89",2010-03-16,article,Obituary (Obit),National,Health,"['Premature Babies', 'Eyes and Eyesight', 'Oxygen', 'Blindness', 'Deaths (Obituaries)']",https://www.nytimes.com/2010/03/16/health/16patz.html,nyt://article/d73cf511-4c68-5010-9647-8275d147b84b,By Lawrence K. Altman
Taming a Child by Setting Her Free,2010-03-03,article,Review,Culture,Theater,"['Theater', 'Deafness']",https://www.nytimes.com/2010/03/04/theater/reviews/04miracle.html,nyt://article/e6c262b6-57f1-5d88-883f-137fbe166ca8,By Ben Brantley
Vision-Impaired Girl Gets Helen Keller Understudy Role,2009-12-08,article,News,Culture,Theater,"['Blindness', 'Theater', 'Deafness']",https://www.nytimes.com/2009/12/09/theater/09disabled.html,nyt://article/722a26ec-0a72-5969-8a2d-bb7bfcdce722,By Patrick Healy
Group Criticizes Helen Keller Casting,2009-10-29,article,Brief,Weekend,Theater,"['Blindness', 'ACTORS AND ACTRESSES', 'Theater', 'Deafness']",https://www.nytimes.com/2009/10/30/theater/30arts-GROUPCRITICI_BRF.html,nyt://article/c31c259c-7aaf-5b9d-890f-297b9d7854fe,By Patrick Healy
Casting Helen Keller: Readers Repond,2009-10-29,article,News,Culture,Arts,[],https://artsbeat.blogs.nytimes.com/2009/10/29/casting-helen-keller-readers-repond/,nyt://article/2da42bbc-1038-57b8-88df-fdc4992dc0ed,By Patrick Healy
Casting Helen Keller: Readers Repond,2009-10-29,article,Web Log,None,Blogs,[],https://artsbeat.blogs.nytimes.com/2009/10/29/blogs/29artsbeat-casting-49005.html,nyt://article/fc910f8f-e1b0-5573-98ac-4562ccbe5f6e,By PATRICK HEALY
Advocacy Group Opposes ‘Miracle Worker’ Casting Choice,2009-10-29,article,News,Culture,Arts,[],https://artsbeat.blogs.nytimes.com/2009/10/29/advocacy-group-opposes-miracle-worker-casting-choice/,nyt://article/72f66245-3efc-5b8c-9f31-9c8be3eb61a6,By Patrick Healy
Advocacy Group Opposes 'Miracle Worker' Casting Choice,2009-10-29,article,Web Log,None,Blogs,[],https://artsbeat.blogs.nytimes.com/2009/10/29/blogs/29artsbeat-advocacy48843.html,nyt://article/791e6db7-15f7-56f3-af2a-26d7f892f79a,By PATRICK HEALY
Spare Times: For Children,2009-08-13,article,Schedule,Weekend,Arts,['Children and Youth'],https://www.nytimes.com/2009/08/14/arts/14kids.html,nyt://article/12a29fb1-bde1-5590-a16f-fef6c103affa,By Laurel Graeber
